total_tracks,id,market,popularity
7.0,4qZBW3f2Q8y0k1A84d4iAO,CH,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,CH,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,CH,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,CH,65.0
30.0,2XGEyGU76kj55OdHWynX0S,CH,64.0
9.0,04hy4jb1GDD00otiwzsFUB,CH,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,CH,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,CH,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,CI,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,CI,64.0
24.0,12INlMsFtBjyehNnawBv36,CI,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,CI,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,CI,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,CI,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,CI,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,CI,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,CI,65.0
30.0,2XGEyGU76kj55OdHWynX0S,CI,64.0
9.0,04hy4jb1GDD00otiwzsFUB,CI,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,CI,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,CI,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,CL,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,CL,64.0
24.0,12INlMsFtBjyehNnawBv36,CL,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,CL,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,CL,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,CL,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,CL,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,CL,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,CL,65.0
30.0,2XGEyGU76kj55OdHWynX0S,CL,64.0
